,vmag,vx,vy,vz,t,x,y,z,inv,ang,E,E_norm,in ang,Emag
25,828.1065433059945,[27.09983635],[0.],[-48.74380202],17.561278704395548,[931.94433089],[0.],[9.96087999],300,-1.3441703365137136,3428.8022353310143,-3341.1279331014957,26.28409090909091,[11.87979117]
26,827.9472139316763,[26.98136672],[0.],[-48.55253122],17.57312207819008,[926.94980997],[0.],[24.20972547],300,-1.3436059064234225,3427.4829452861245,-3339.407163634063,27.295454545454547,[11.78674144]
27,827.7880042872085,[26.86246044],[0.],[-48.35679507],17.583289424898286,[921.59171854],[0.],[38.49057577],300,-1.3430402030424446,3426.164900208998,-3337.68589354496,28.306818181818183,[11.69189815]
28,827.6290335862874,[26.74093413],[0.],[-48.15885922],17.59229450090449,[915.88631775],[0.],[52.76747458],300,-1.3424926581573955,3424.84908617486,-3335.9801409416514,29.31818181818182,[11.59637861]
29,827.470409611009,[26.61504619],[0.],[-47.96061347],17.600499588567125,[909.84638971],[0.],[67.01073388],300,-1.3419777428122714,3423.5363939090553,-3334.3020949571082,30.329545454545457,[11.50110222]
30,827.3122285278356,[26.4834175],[0.],[-47.76362833],17.608144419510346,[903.48183986],[0.],[81.19584389],300,-1.3415058982028927,3422.2276173584683,-3332.6607894008425,31.340909090909093,[11.40682096]
31,827.1545749483818,[26.34496558],[0.],[-47.56920294],17.61536915814247,[896.80020125],[0.],[95.30254858],300,-1.3410842736548942,3420.923454290191,-3331.0626371691665,32.352272727272734,[11.31414534]
32,826.9975218484014,[26.19885243],[0.],[-47.37840191],17.622231516699998,[889.80703319],[0.],[109.31410924],300,-1.3407172747599012,3419.6245057169863,-3329.511825579007,33.36363636363637,[11.22356484]
33,826.8411300699738,[26.04444546],[0.],[-47.19208024],17.62871840046691,[882.50621672],[0.],[123.21675715],300,-1.3404069333698432,3418.331271876957,-3328.010578751971,34.375,[11.13546219]
34,826.6854471770731,[25.88129057],[0.],[-47.01089563],17.63475249211243,[874.90015307],[0.],[136.9993281],300,-1.3401531104038877,3417.044142871787,-3326.559292424997,35.38636363636364,[11.05012154]
35,826.5453692736007,[25.56568848],[0.],[-47.04422175],17.694320685327995,[868.22007859],[0.],[148.39678332],300,-1.341907544374545,3415.886237338165,-3326.7969402915523,36.39772727272727,[11.065794]
36,826.4072138087294,[25.23989449],[0.],[-47.09282286],17.75535920624781,[861.2517333],[0.],[159.58912763],300,-1.343783620059685,3414.744415175535,-3327.132608840261,37.409090909090914,[11.08866983]
37,826.2678408045166,[24.93298013],[0.],[-47.11334374],17.806384603065453,[853.74327982],[0.],[171.04020123],300,-1.345374611398535,3413.59272373879,-3327.2285991284616,38.42045454545455,[11.09833579]
38,826.1273899190238,[24.64154705],[0.],[-47.10906174],17.848046703727512,[845.72069918],[0.],[182.70578657],300,-1.3467115022674834,3412.4323218720942,-3327.1142804697974,39.43181818181819,[11.09631849]
39,825.9860662284896,[24.3618775],[0.],[-47.08396605],17.881198664271725,[837.21285285],[0.],[194.53328325],300,-1.3478311084824481,3411.264908018074,-3326.822666307111,40.44318181818182,[11.0844993]
40,825.8464249554846,[24.09048278],[0.],[-47.04196273],17.919213709960836,[828.24680467],[0.],[206.47091643],300,-1.3492072287828583,3410.1115880587745,-3326.732412668322,41.45454545454546,[11.06473129]
41,825.7122972223644,[23.82420263],[0.],[-46.98671402],17.981437090486963,[818.8469717],[0.],[218.46989301],300,-1.3515099649878126,3409.0039889211716,-3327.368358389059,42.46590909090909,[11.03875647]
42,825.5781203728893,[23.56027233],[0.],[-46.92150943],18.037171348499424,[809.03453491],[0.],[230.48603481],300,-1.3536659915743128,3407.8961641921646,-3327.877658408739,43.477272727272734,[11.00814023]
43,825.4441817165582,[23.2963592],[0.],[-46.84916901],18.08743273686025,[798.82709512],[0.],[242.48089329],300,-1.3557177592269356,3406.790485648592,-3328.2967689499833,44.48863636363637,[10.97422319]
44,825.3107330919333,[13.0318715],[0.],[-60.22676997],22.681046644559526,[868.73798362],[0.],[6.26325052],300,-1.4646331845044824,3405.6890307837225,-3386.514948415644,45.50000000000001,[18.13631911]
45,825.1779850612603,[12.90463826],[0.],[-60.20518833],22.715604663491966,[856.7897799],[0.],[18.72523033],300,-1.4655215230606433,3404.593535148808,-3385.7447649789224,46.51136363636364,[18.12332351]
46,825.046101487704,[12.77768491],[0.],[-60.17971565],22.745003077286,[844.44040063],[0.],[31.20483122],300,-1.4663781461202234,3403.505347900294,-3384.967724651208,47.52272727272728,[18.10799088]
47,824.9151937755882,[12.6500573],[0.],[-60.15093554],22.769891024028297,[831.69470663],[0.],[43.67322801],300,-1.467216656467819,3402.425384609082,-3384.1898146462545,48.534090909090914,[18.09067523]
48,824.7853143614743,[12.52111838],[0.],[-60.11912228],22.790728461873076,[818.55517778],[0.],[56.1124707],300,-1.4680475395619963,3401.3540739317805,-3383.4152841211016,49.54545454545455,[18.07154432]
49,824.6564495059632,[12.39053799],[0.],[-60.08422402],22.80778897430732,[805.02198228],[0.],[68.51573466],300,-1.4688783489128334,3400.2912985589064,-3382.6467007021197,50.55681818181819,[18.05056988]
50,824.5285120803845,[12.25827731],[0.],[-60.04584825],22.821166830029345,[791.09308477],[0.],[80.88740267],300,-1.469713943780778,3399.2363361674643,-3381.885017416836,51.56818181818182,[18.02751946]
51,824.4013358863714,[12.12456123],[0.],[-60.00325681],22.830792105147978,[776.76444273],[0.],[93.24273153],300,-1.4705568406628515,3398.1878130561686,-3381.1296851095076,52.57954545454546,[18.00195414]
52,824.2746740257066,[11.98982962],[0.],[-59.95538195],22.836459563022856,[762.03035982],[0.],[105.60672629],300,-1.4714077617121029,3397.143691200925,-3380.378858148318,53.59090909090909,[17.97323912]
53,824.1482047115329,[11.85465711],[0.],[-59.90087807],22.83787770567014,[746.88407181],[0.],[118.01176766],300,-1.4722664658642597,3396.1013166462135,-3379.6297463284172,54.602272727272734,[17.94057597]
54,824.0215481813105,[11.71963421],[0.],[-59.83822326],22.83474263459093,[731.31862121],[0.],[130.49359427],300,-1.473132914158973,3395.0575593356193,-3378.8791539639615,55.61363636363637,[17.90306482]
55,823.8948647546874,[11.58521056],[0.],[-59.76587894],22.826835793813814,[715.3280179],[0.],[143.08552576],300,-1.4740087338096008,3394.0137408457235,-3378.1288615262147,56.62500000000001,[17.85980143]
56,823.7683941764968,[11.45151489],[0.],[-59.68250137],22.81413524808544,[698.90858056],[0.],[155.81136317],300,-1.474898809036287,3392.9718362206218,-3377.3823379217383,57.63636363636364,[17.81000485]
57,823.6407911600814,[11.31818302],[0.],[-59.5871789],22.796919499940017,[682.06023385],[0.],[168.67810843],300,-1.475812681095808,3391.920764314025,-3376.6314913340693,58.64772727272728,[17.75315945]
58,823.5119345709112,[11.18423579],[0.],[-59.47964938],22.77583651174268,[664.78745393],[0.],[181.67019225],300,-1.4767653636902325,3390.859531903624,-3375.879885823194,59.659090909090914,[17.68914345]
59,823.3818743125619,[11.04804541],[0.],[-59.36044529],22.751914366730627,[647.09957562],[0.],[194.74689631],300,-1.4777772503270823,3389.7885547323376,-3375.1339708456326,60.670454545454554,[17.61831233]
60,823.2508479620025,[10.90740809],[0.],[-59.23092714],22.72650509611293,[629.01032235],[0.],[207.84390751],300,-1.4788730178807699,3388.7097933507803,-3374.402751526887,61.68181818181819,[17.54151365]
61,823.1192694255735,[10.75970944],[0.],[-59.09319563],22.701173521370198,[610.53664489],[0.],[220.87870168],300,-1.480079725519849,3387.626658498449,-3373.696975541045,62.69318181818183,[17.46002885]
